combat_id,start_time,player_ids,player_info,monsters_info,party_size,total_slots,total_max_slots,party_classes_with_level,party_total_class_composition,player_individual_hp_ratios,player_individual_ac,player_individual_prof_bonus,player_individual_strength,player_individual_dexterity,player_individual_constitution,player_individual_intelligence,player_individual_wisdom,player_individual_charisma,monster_types,monster_number,monster_total_level,party_total_level,party_level1_spellslots,party_level2_spellslots,party_level3_spellslots,party_level4_spellslots,party_level5_spellslots,party_level6_spellslots,party_level7_spellslots,party_level8_spellslots,party_level9_spellslots,party_total_ac,party_total_precombat_hp,party_total_postcombat_hp,party_total_hpratio,party_total_prof_bonus,party_total_strength,party_total_dexterity,party_total_constitution,party_total_intelligence,party_total_wisdom,party_total_charisma,player_monster_ratio,monster_player_ratio,Blood Hunter,Ranger,Bard,Rogue,Warlock,Wizard,Druid,Monk,Paladin,Fighter,Barbarian,Cleric,Sorcerer,weighted_monster_level,weighted_spell_slots
1667093704-73130db4-c26b-4778-a242-0b98c46adabc,1667093704.1516426,['177558997848408361'],"[{'hp_ratio': (0, 23), 'class': [('Warlock', 4)], 'slots': {'1': 0, '2': 2, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 0, '2': 2, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 19, 'stats': {'prof_bonus': 2, 'strength': 20, 'dexterity': 9, 'constitution': 10, 'intelligence': 12, 'wisdom': 14, 'charisma': 19}}]","[{'monster_id': '4c7d90bb-9255-44a9-aa4e-f6ffa1fa9000', 'monster_code': 'GR1', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': 'b5491d16-ca83-4996-82d1-41d1ec1b7db6', 'monster_code': 'GR2', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '6ede1067-ed54-42bb-9ce2-14068477164c', 'monster_code': 'GR3', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '15406585-e135-4bde-b13a-95e9039052c4', 'monster_code': 'GR1', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': 'cba094e4-cbda-4cb3-b96d-6783a378cba9', 'monster_code': 'GR3', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '535a9ef0-3c3c-4719-824c-761ee6ba0675', 'monster_code': 'SoR1', 'monster_name': 'Swarm of Rats', 'level': 0.25}, {'monster_id': '18ae3599-3f5f-434c-abf4-08985400956c', 'monster_code': 'GR1', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '5b665adc-16fb-4a81-93da-3476c692d470', 'monster_code': 'GR2', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '5369b5d1-45e9-4242-8a9b-1d4280822a1e', 'monster_code': 'GR3', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '5a49cbdf-9890-4826-bb02-98a9f60cf367', 'monster_code': 'SoR1', 'monster_name': 'Swarm of Rats', 'level': 0.25}, {'monster_id': 'f752f71e-0840-4f4c-af8e-73cd169acf8a', 'monster_code': 'GR1', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': 'ff186863-f2ab-40f0-b194-8e2f4965b444', 'monster_code': 'GR2', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '62baee43-b320-414a-b2fb-1010a1635bf0', 'monster_code': 'GR3', 'monster_name': 'Giant Rat', 'level': 0.125}, {'monster_id': '0162fa37-9f5a-4be5-b820-437ef078ae4e', 'monster_code': 'SoR1', 'monster_name': 'Swarm of Rats', 'level': 0.25}, {'monster_id': 'd1084b11-b70b-4b0b-826d-ef22e6237863', 'monster_code': 'SoR2', 'monster_name': 'Swarm of Rats', 'level': 0.25}]",1,"{'1': 0, '2': 2, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 0, '2': 2, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","[('Warlock', 4)]",['Warlock'],"[(0, 23)]",[19],[2],[20],[9],[10],[12],[14],[19],"['Giant Rat', 'Giant Rat', 'Giant Rat', 'Giant Rat', 'Giant Rat', 'Swarm of Rats', 'Giant Rat', 'Giant Rat', 'Giant Rat', 'Swarm of Rats', 'Giant Rat', 'Giant Rat', 'Giant Rat', 'Swarm of Rats', 'Swarm of Rats']",15,2.375,4,0,2,0,0,0,0,0,0,0,19,23,0,0.00,2,20,9,10,12,14,19,0.066666667,15,0,0,0,0,1,0,0,0,0,0,0,0,0,9.5,34
1658885575-ee4d97ac-453a-4de1-ac3d-a10dc227bb92,1658885575.5951788,['127965999109502658'],"[{'hp_ratio': (0, 75), 'class': [('Bard', 8)], 'slots': {'1': 4, '2': 1, '3': 3, '4': 2, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 4, '2': 3, '3': 3, '4': 2, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 19, 'stats': {'prof_bonus': 3, 'strength': 19, 'dexterity': 7, 'constitution': 18, 'intelligence': 15, 'wisdom': 15, 'charisma': 17}}]","[{'monster_id': 'c20a1c98-e82c-4906-893d-0a9ebb2ba3ef', 'monster_code': 'HO1', 'monster_name': 'Half-Ogre', 'level': 1.0}, {'monster_id': 'e074b563-a6be-4b87-8532-ae0b2782bbb9', 'monster_code': 'HO2', 'monster_name': 'Half-Ogre', 'level': 1.0}, {'monster_id': '6d0a08d1-c8f0-445d-a510-a36e343710d8', 'monster_code': 'HO3', 'monster_name': 'Half-Ogre', 'level': 1.0}, {'monster_id': '1b3b4139-47a2-45eb-a3cf-a3fd0f2f9bfa', 'monster_code': 'HO4', 'monster_name': 'Half-Ogre', 'level': 1.0}, {'monster_id': 'cdcfd1ca-1dcc-460d-a2e3-374badb50c35', 'monster_code': 'HO5', 'monster_name': 'Half-Ogre', 'level': 1.0}, {'monster_id': '5561f699-49ad-4b38-83f4-c7cd88548c74', 'monster_code': 'HO6', 'monster_name': 'Half-Ogre', 'level': 1.0}]",1,"{'1': 4, '2': 1, '3': 3, '4': 2, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 4, '2': 3, '3': 3, '4': 2, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","[('Bard', 8)]",['Bard'],"[(0, 75)]",[19],[3],[19],[7],[18],[15],[15],[17],"['Half-Ogre', 'Half-Ogre', 'Half-Ogre', 'Half-Ogre', 'Half-Ogre', 'Half-Ogre']",6,6,8,4,1,3,2,0,0,0,0,0,19,75,0,0.00,3,19,7,18,15,15,17,0.1666666666666666,6,0,0,1,0,0,0,0,0,0,0,0,0,0,12,225
1664367987-7e065799-4cb1-4646-94a9-ad201547e443,1664367987.4026036,"['326793710699339197', '264022841131784635', '239987723820313556']","[{'hp_ratio': None, 'class': [('Rogue', 9)], 'slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 17, 'stats': {'prof_bonus': 4, 'strength': 19, 'dexterity': 20, 'constitution': 16, 'intelligence': 14, 'wisdom': 10, 'charisma': 10}}, {'hp_ratio': None, 'class': [('Blood Hunter', 9)], 'slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 20, 'stats': {'prof_bonus': 4, 'strength': 21, 'dexterity': 14, 'constitution': 20, 'intelligence': 11, 'wisdom': 16, 'charisma': 8}}, {'hp_ratio': (0, 81), 'class': [('Warlock', 13)], 'slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 16, 'stats': {'prof_bonus': 5, 'strength': 15, 'dexterity': 18, 'constitution': 12, 'intelligence': 17, 'wisdom': 11, 'charisma': 13}}]","[{'monster_id': '89bca030-87a3-47a3-9621-032fe23ba0a8', 'monster_code': 'DR2', 'monster_name': 'Drow', 'level': 0.25}, {'monster_id': 'e3ab898a-4f96-4cd4-9f8a-fa66394a7b14', 'monster_code': 'DR1', 'monster_name': 'Drow', 'level': 0.25}, {'monster_id': 'f028f6c8-3811-4a6e-bce0-3178cfcb9e9c', 'monster_code': 'KN1', 'monster_name': 'Knight', 'level': 3.0}, {'monster_id': '08ccd782-f99c-449b-9bbc-7441d5738c7a', 'monster_code': 'KN1', 'monster_name': 'Knight', 'level': 3.0}]",3,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 0, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}","[('Rogue', 9), ('Blood Hunter', 9), ('Warlock', 13)]","['Rogue', 'Blood Hunter', 'Warlock']","[(0, 81)]","[17, 20, 16]","[4, 4, 5]","[19, 21, 15]","[20, 14, 18]","[16, 20, 12]","[14, 11, 17]","[10, 16, 11]","[10, 8, 13]","['Drow', 'Drow', 'Knight', 'Knight']",4,6.5,31,0,0,0,0,3,0,0,0,0,53,81,0,0.00,13,55,52,48,42,37,31,0.75,1.3333333333333333,1,0,0,1,1,0,0,0,0,0,0,0,0,13,192
1664333782-19e43046-cc43-4927-8570-152502d1275d,1664333782.6179006,['288900826835560174'],"[{'hp_ratio': (0, 114), 'class': [('Fighter', 11)], 'slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 19, 'stats': {'prof_bonus': 4, 'strength': 20, 'dexterity': 10, 'constitution': 19, 'intelligence': 12, 'wisdom': 12, 'charisma': 12}}]","[{'monster_id': '51ceaa89-0155-46e4-9406-58a4c8d0a4ad', 'monster_code': 'FDT1', 'monster_name': 'Forsaken Dire Troll', 'level': 15.0}]",1,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","[('Fighter', 11)]",['Fighter'],"[(0, 114)]",[19],[4],[20],[10],[19],[12],[12],[12],['Forsaken Dire Troll'],1,15,11,0,0,0,0,0,0,0,0,0,19,114,0,0.00,4,20,10,19,12,12,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0
1665884477-91457c2f-4cde-4066-b9c4-77d8982d862e,1665884477.1378813,['163631059791733886'],"[{'hp_ratio': (0, 48), 'class': [('Cleric', 5)], 'slots': {'1': 4, '2': 3, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 4, '2': 3, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 16, 'stats': {'prof_bonus': 3, 'strength': 16, 'dexterity': 14, 'constitution': 16, 'intelligence': 10, 'wisdom': 16, 'charisma': 12}}]","[{'monster_id': 'd9d0a661-232b-4db3-83d3-960b6c78f1ba', 'monster_code': 'HC1', 'monster_name': 'Hobgoblin Captain', 'level': 3.0}, {'monster_id': 'aebce6db-abbe-4c08-94bf-e8cf24b529b6', 'monster_code': 'HO1', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': '24662a24-d25f-4044-b37b-e901f7e242b0', 'monster_code': 'HO2', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': 'f85a3e03-ffa8-44e0-b4f6-c28e1442ec6e', 'monster_code': 'HO5', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': 'ce37caa6-688f-4a32-b421-eaf3a42f37bc', 'monster_code': 'HO3', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': 'aed813cc-0907-487a-b51f-65b3b26fb096', 'monster_code': 'HO6', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': '3be5a1e2-9f5e-4ee2-b318-90c0431f0b03', 'monster_code': 'HO7', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': '57a6b71b-e49b-45ee-9b4a-38b9e9f07002', 'monster_code': 'HO8', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': 'e57987d8-2069-4f9c-8630-1927b99f9221', 'monster_code': 'HO4', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': '22f1665b-687a-4d5c-89b3-ceccb4b8223a', 'monster_code': 'HO9', 'monster_name': 'Hobgoblin', 'level': 0.5}, {'monster_id': '7fa63916-0a40-455a-b19b-5739d049e1ea', 'monster_code': 'GB1', 'monster_name': 'Giant Boar', 'level': 2.0}]",1,"{'1': 4, '2': 3, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 4, '2': 3, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","[('Cleric', 5)]",['Cleric'],"[(0, 48)]",[16],[3],[16],[14],[16],[10],[16],[12],"['Hobgoblin Captain', 'Hobgoblin', 'Hobgoblin', 'Hobgoblin', 'Hobgoblin', 'Hobgoblin', 'Hobgoblin', 'Hobgoblin', 'Hobgoblin', 'Hobgoblin', 'Giant Boar']",11,9.5,5,4,3,2,0,0,0,0,0,0,16,48,0,0.00,3,16,14,16,10,16,12,0.090909091,11,0,0,0,0,0,0,0,0,0,0,0,1,0,28.5,139
1666298872-b16d909c-53c6-4bfd-bcc0-f045390a2681,1666298872.0258188,['240184232026852789'],"[{'hp_ratio': (0, 224), 'class': [('Fighter', 20)], 'slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 25, 'stats': {'prof_bonus': 6, 'strength': 22, 'dexterity': 13, 'constitution': 20, 'intelligence': 10, 'wisdom': 11, 'charisma': 10}}]","[{'monster_id': 'd0947ff3-cdb6-4bdd-abf0-43cf93350667', 'monster_code': 'SC1', 'monster_name': 'Scarlet', 'level': 19.0}]",1,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","[('Fighter', 20)]",['Fighter'],"[(0, 224)]",[25],[6],[22],[13],[20],[10],[11],[10],['Scarlet'],1,19,20,0,0,0,0,0,0,0,0,0,25,224,0,0.00,6,22,13,20,10,11,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0
1658768918-afcaaf67-a36f-4a62-acfb-23d9550c5316,1658768918.490173,"['129705414623236906', '252085070492554802', '127319176105685816']","[{'hp_ratio': (0, 31), 'class': [('Druid', 4)], 'slots': {'1': 4, '2': 2, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 4, '2': 3, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 11, 'stats': {'prof_bonus': 2, 'strength': 15, 'dexterity': 11, 'constitution': 14, 'intelligence': 15, 'wisdom': 17, 'charisma': 11}}, {'hp_ratio': (0, 74), 'class': [('Ranger', 10)], 'slots': {'1': 4, '2': 3, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 4, '2': 3, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 17, 'stats': {'prof_bonus': 4, 'strength': 19, 'dexterity': 18, 'constitution': 13, 'intelligence': 13, 'wisdom': 16, 'charisma': 12}}, {'hp_ratio': None, 'class': [('Sorcerer', 17), ('Warlock', 2)], 'slots': {'1': 6, '2': 3, '3': 3, '4': 2, '5': 2, '6': 1, '7': 1, '8': 1, '9': 1}, 'max_slots': {'1': 6, '2': 3, '3': 3, '4': 3, '5': 2, '6': 1, '7': 1, '8': 1, '9': 1}, 'ac': 25, 'stats': {'prof_bonus': 6, 'strength': 9, 'dexterity': 14, 'constitution': 16, 'intelligence': 11, 'wisdom': 13, 'charisma': 20}}]","[{'monster_id': 'cfe87766-77d5-4b09-bbd8-f682860a2244', 'monster_code': 'Bakari', 'monster_name': 'Adult Bakari', 'level': 14.0}]",3,"{'1': 14, '2': 8, '3': 5, '4': 2, '5': 2, '6': 1, '7': 1, '8': 1, '9': 1}","{'1': 14, '2': 9, '3': 5, '4': 3, '5': 2, '6': 1, '7': 1, '8': 1, '9': 1}","[('Druid', 4), ('Ranger', 10), ('Sorcerer', 17), ('Warlock', 2)]","['Druid', 'Ranger', 'Sorcerer', 'Warlock']","[(0, 31), (0, 74)]","[11, 17, 25]","[2, 4, 6]","[15, 19, 9]","[11, 18, 14]","[14, 13, 16]","[15, 13, 11]","[17, 16, 13]","[11, 12, 20]",['Adult Bakari'],1,14,33,14,8,5,2,2,1,1,1,1,53,105,0,0.00,12,43,43,43,39,46,43,3,0.3333333333333333,0,1,0,0,1,0,1,0,0,0,0,0,1,14,979
1658195387-67ab61f9-0167-4831-8b97-b4b9b1cecdd9,1658195387.906979,['971548668218069599'],"[{'hp_ratio': (0, 78), 'class': [('Barbarian', 1), ('Paladin', 7)], 'slots': {'1': 3, '2': 2, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 4, '2': 3, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 15, 'stats': {'prof_bonus': 3, 'strength': 18, 'dexterity': 14, 'constitution': 16, 'intelligence': 8, 'wisdom': 8, 'charisma': 13}}]","[{'monster_id': '4debf287-02b2-48d7-a686-ce46a1fb57a7', 'monster_code': 'Elmer3', 'monster_name': 'Gladiator', 'level': 5.0}, {'monster_id': '26682e4b-08fa-4d2f-8cd2-c4cd7e0e9fc9', 'monster_code': 'Elmer2', 'monster_name': 'Gladiator', 'level': 5.0}, {'monster_id': '9769f971-f70f-4fee-b7b7-c6b7fd02c6ba', 'monster_code': 'Elmer1', 'monster_name': 'Gladiator', 'level': 5.0}]",1,"{'1': 3, '2': 2, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 4, '2': 3, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","[('Barbarian', 1), ('Paladin', 7)]","['Barbarian', 'Paladin']","[(0, 78)]",[15],[3],[18],[14],[16],[8],[8],[13],"['Gladiator', 'Gladiator', 'Gladiator']",3,15,8,3,2,0,0,0,0,0,0,0,15,78,0,0.00,3,18,14,16,8,8,13,0.3333333333333333,3,0,0,0,0,0,0,0,0,1,0,1,0,0,30,52
1661531195-75b17922-a46a-4f25-8443-774d05ae2aed,1661531195.133556,['532851975771166592'],"[{'hp_ratio': (0, 57), 'class': [('Barbarian', 4)], 'slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 17, 'stats': {'prof_bonus': 2, 'strength': 20, 'dexterity': 14, 'constitution': 18, 'intelligence': 7, 'wisdom': 12, 'charisma': 10}}]","[{'monster_id': 'd24e1f26-c99c-485d-a39c-ca50fb5dfa12', 'monster_code': 'KE1', 'monster_name': 'Kelpie', 'level': 4.0}]",1,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0}","[('Barbarian', 4)]",['Barbarian'],"[(0, 57)]",[17],[2],[20],[14],[18],[7],[12],[10],['Kelpie'],1,4,4,0,0,0,0,0,0,0,0,0,17,57,0,0.00,2,20,14,18,7,12,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
1658988238-60a0c6dd-9a56-4c8b-9bee-79d4839b7cf4,1658988238.0621452,['137095815938321986'],"[{'hp_ratio': (0, 111), 'class': [('Warlock', 11), ('Sorcerer', 1)], 'slots': {'1': 2, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}, 'max_slots': {'1': 2, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}, 'ac': 22, 'stats': {'prof_bonus': 4, 'strength': 14, 'dexterity': 14, 'constitution': 19, 'intelligence': 10, 'wisdom': 16, 'charisma': 18}}]","[{'monster_id': '2f14333e-5296-4e50-83f9-dc8ad5c7dda2', 'monster_code': 'Bakari', 'monster_name': 'Adult Bakari', 'level': 14.0}]",1,"{'1': 2, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}","{'1': 2, '2': 0, '3': 0, '4': 0, '5': 3, '6': 0, '7': 0, '8': 0, '9': 0}","[('Warlock', 11), ('Sorcerer', 1)]","['Warlock', 'Sorcerer']","[(0, 111)]",[22],[4],[14],[14],[19],[10],[16],[18],['Adult Bakari'],1,14,12,2,0,0,0,3,0,0,0,0,22,111,0,0.00,4,14,14,19,10,16,18,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14,204
